message,author,timestamp,category,sentiment,keyword_mentioned,message_length,department_ID,job_classification
I just saw a story! It was amazing.,Alice,2025-09-24 21:35:04,other,0.8,other,35,D4_HR,Level 1
I just loved JavaScript! It was amazing.,Bob,2025-09-24 21:35:09,tech,0.95,JavaScript,40,D1_Finance,associate
I just shared a trick! It was boring.,Bob,2025-09-24 21:35:14,other,0.24,other,37,D6_Logistics,Hourly
I just tried a movie! It was weird.,Bob,2025-09-24 21:35:19,entertainment,0.59,movie,35,D2_Mfg,associate
I just found a story! It was funny.,Charlie,2025-09-24 21:35:24,other,0.94,other,35,D2_Mfg,Level 2
I just loved recipe! It was funny.,Alice,2025-09-24 21:35:29,food,0.9,recipe,34,D5_Operations,Level 2
I just tried JavaScript! It was exciting.,Bob,2025-09-24 21:35:34,tech,0.86,JavaScript,41,D5_Operations,Hourly
I just loved a movie! It was exciting.,Alice,2025-09-24 21:35:39,entertainment,0.06,movie,38,D3_Legal,Level 1
I just tried recipe! It was funny.,Eve,2025-09-24 21:35:44,food,0.55,recipe,34,D4_HR,Level 1
I just tried travel! It was amazing.,Alice,2025-09-24 21:35:49,travel,0.86,travel,36,D4_HR,Level 2
I just shared a trick! It was boring.,Eve,2025-09-24 21:35:55,other,0.37,other,37,D5_Operations,Level 1
I just found Python! It was boring.,Charlie,2025-09-24 21:36:00,tech,0.71,Python,35,D6_Logistics,lead
I just loved travel! It was weird.,Charlie,2025-09-24 21:36:05,travel,0.61,travel,34,D2_Mfg,lead
I just saw recipe! It was boring.,Bob,2025-09-24 21:36:10,food,0.94,recipe,33,D6_Logistics,Level 2
I just tried recipe! It was weird.,Eve,2025-09-24 21:36:15,food,0.93,recipe,34,D1_Finance,lead
I just shared travel! It was weird.,Alice,2025-09-24 21:36:20,travel,0.23,travel,35,D2_Mfg,Level 1
I just saw a meme! It was weird.,Alice,2025-09-24 21:36:25,humor,0.34,meme,32,D1_Finance,lead
I just found a meme! It was boring.,Bob,2025-09-24 21:36:30,humor,0.7,meme,35,D1_Finance,Level 2
I just tried a movie! It was boring.,Bob,2025-09-24 21:36:35,entertainment,0.35,movie,36,D5_Operations,Level 1
I just found travel! It was boring.,Bob,2025-09-24 21:36:40,travel,0.08,travel,35,D1_Finance,Level 2
I just tried JavaScript! It was exciting.,Eve,2025-09-24 21:36:45,tech,0.1,JavaScript,41,D5_Operations,senior
I just saw a story! It was weird.,Alice,2025-09-24 21:36:50,other,0.15,other,33,D6_Logistics,Level 1
I just found travel! It was weird.,Charlie,2025-09-24 21:36:55,travel,0.16,travel,34,D3_Legal,lead
I just found Python! It was funny.,Eve,2025-09-24 21:37:00,tech,0.95,Python,34,D4_HR,senior
I just shared travel! It was weird.,Alice,2025-09-24 21:37:05,travel,0.97,travel,35,D4_HR,Hourly
I just found a trick! It was weird.,Charlie,2025-09-24 21:37:10,other,0.28,other,35,D4_HR,lead
I just found a story! It was weird.,Alice,2025-09-24 21:37:15,other,0.52,other,35,D5_Operations,Hourly
I just shared recipe! It was weird.,Bob,2025-09-24 21:37:20,food,0.55,recipe,35,D5_Operations,Level 1
I just tried a meme! It was amazing.,Eve,2025-09-24 21:37:25,humor,0.67,meme,36,D3_Legal,associate
